128 Forest; replaced with Forest
Hollowsage
Augury Adept
Reunion of the House
Arctic Treeline
Sight of the Scalelords
Airbender Ascension
Rampart Architect
Graveyard Marshal
Etherwrought Page
Grand Melee
Secluded Starforge
Vedalken Humiliator
Aurora Shifter
Witness Protection
Spark Jolt
Drastic Revelation
Thousand-legged Kami
Fire Whip
Disperse
Covetous Dragon
Akim, the Soaring Wind
Porcelain Legionnaire
Evie Frye
Touch of Moonglove
Kyler, Sigardian Emissary
Reyav, Master Smith
Madame Vastra
Serra's Hymn
Arcane Encyclopedia
Dispelling Exhale
Masterwork of Ingenuity
Pillar of Light
Mirrodin's Core
Harvestrite Host
Blinding Spray
Fear of Missing Out
Thassa's Ire
Cori Mountain Stalwart
Retrofitted Transmogrant
Soulsurge Elemental
Obelisk of Grixis
Riddlesmith
Scatter Ray
Konda's Hatamoto
Snow-Covered Island
Howl of the Night Pack
Riptide Chimera
Cabal Torturer
Headsplitter
Haunted Screen
Nezumi Shadow-Watcher
Flowering of the White Tree
Sword of Fire and Ice
Daring Thief
Soul Snuffers
Wolfhunter's Quiver
Battlewing Mystic
Guardian Shield-Bearer
Ghoulcaller Gisa
Horned Sliver
Confession Dial
Storm Fleet Pyromancer
Mental Modulation
Déjà Vu
Ashiok's Erasure
Reverse Polarity
Full Throttle
Twin Bolt
Temur Monument
Elvish Archers
Stone-Tongue Basilisk
Disdainful Stroke
Shipwreck Marsh
Bellowing Bruiser // Beat a Path
Brainbite
Fogwalker
Force Away
Throne of the Grim Captain // The Grim Captain
Resistance Reunited
Court of Bounty
Eladamri's Call
Obelisk of Bant
Elvish Doomsayer
Power Surge
Vow of Torment
Dreadmaw's Ire
Wildwood Scourge
Glarewielder
Sawback Manticore
Bull Rush
Guardian Kirin
Melira's Keepers
Night // Day
Lara Croft, Tomb Raider
Delete
Hurl Through Hell
Collision of Realms
Thalakos Dreamsower
Breeding Pit
Acidic Dagger
Master's Guide-Mural // Master's Manufactory
Fungal Bloom
Vampire Spawn
Quillspike
Fire Shrine Keeper
Zaxara, the Exemplary
Heavyweight Demolisher
Redemptor Dreadnought
Deceptive Frostkite
Villagers of Estwald // Howlpack of Estwald
Unstable Frontier
Vivien on the Hunt
Bogbrew Witch
Raubahn, Bull of Ala Mhigo
Cheeky House-Mouse // Squeak By
Molten Tributary
Chandra, Dressed to Kill
Sphere of Truth
Skyship Stalker
Cruel Entertainment
Territorial Scythecat
Stonefare Crocodile
Dovin's Acuity
Final Death
The Tabernacle at Pendrell Vale
Mardu Strike Leader
Boggart Cursecrafter
Caustic Crawler
Young Blue Dragon // Sand Augury
Devout Harpist
Oculus
Black Carriage
Soldevi Simulacrum
Voyaging Satyr
Belligerent Brontodon
River Merfolk
Demonic Lore
Transguild Promenade
Dire Undercurrents
Amalia Benavides Aguirre
Stitched Drake
Restoration Angel
Drifting Meadow
Curse of Disturbance
Darksteel Splicer
Utopia Mycon
Grafted Growth
Wall of Mulch
Changeling Berserker
Misers' Cage
Summon: Brynhildr
Bloodhunter Bat
Sculpted Perfection
Veteran Survivor
Teroh's Faithful
Moor Fiend
Clowning Around
Death Wind
Skeletal Grimace
Messenger Jays
Struggle // Survive
Twist Allegiance
Taigam, Sidisi's Hand
Captain Howler, Sea Scourge
Glittering Stockpile
Geistlight Snare
Soul's Grace
Thundersong Trumpeter
Temple Elder
Crabomination
Cruel Revival
Rampant Growth
Sima Yi, Wei Field Marshal
Codie, Vociferous Codex
Arcbound Shikari
Aethershield Artificer
Terashi's Grasp
Cyclops of One-Eyed Pass
Targ Nar, Demon-Fang Gnoll
Jace, Cunning Castaway
Loan Shark
Sprite Noble
Death's Oasis
Brago's Representative
Bonescythe Sliver
Galadhrim Guide
Clockwork Servant
Stonewood Invoker
Arni Metalbrow
Leatherback Baloth
Lone Rider // It That Rides as One
Zodiac Horse
Invigorating Boon
Nether Traitor
Champions from Beyond
Ride the Avalanche
Touch of the Void
Cursed Mirror
The Five Doctors
Taigam, Master Opportunist
Combust
Barrin's Unmaking
Bubbling Cauldron
Vampire Noble
Waterspout Elemental
Darkslick Drake
Wrexial, the Risen Deep
Deeproot Pilgrimage
Sparring Dummy
Borrowed Hostility
Krosan Verge
Gideon's Phalanx
Buy Your Silence
Doors of Durin
Tormented Thoughts
Windscouter
Wizard Class
Nezumi Shortfang // Stabwhisker the Odious
Shifting Sky
Military Intelligence
Rolling Hamsphere
Vulshok War Boar
Pulse of the Grid
Holy Mantle
Dead Drop
Expose Evil
Make Your Mark
Seifer, Balamb Rival
Galvanic Alchemist
Unassuming Sage
Intimidation Campaign
Rage of Purphoros
Gilt-Blade Prowler
Manakin
Kamahl's Desire
Trumpeting Herd
Into the Fae Court
Spikeshell Harrier
Dennick, Pious Apprentice // Dennick, Pious Apparition
Pursuit of Flight
Wall of Resistance
Startled Awake // Persistent Nightmare
Kiora, Behemoth Beckoner
Nezumi Bladeblesser
Pallid Mycoderm
Battle of Wits
An-Zerrin Ruins
Hopping Automaton
Reaper of Sheoldred
Illusionary Wall
Returned Phalanx
Kami of Lunacy
Border Guard
Blazing Hope
Harrier Strix
Quakestrider Ceratops
Mask of the Mimic
Gideon's Sacrifice
Gift of Doom
Venomous Fangs
Curse of the Pierced Heart
The Shattered States Era // Nameless Conqueror
Rakdos Cackler
Melira, the Living Cure
Inevitable Defeat
Sycorax Commander
Bojuka Brigand
Jötun Grunt
Deepcavern Imp
Lost to Legend
Stockman, Mad Fly-entist
Swell of Courage
Crawling Chorus
Mistmeadow Council
Paranoid Parish-Blade
Gloomwidow's Feast
Embraal Gear-Smasher
Suppress
Blossoming Bogbeast
Gallows at Willow Hill
Monstrous Hound
Crypt Cobra
Braided Net // Braided Quipu
Workshop Elders
Roar of the Crowd
Unstoppable Slasher
Monk Gyatso
Liminal Hold
Bloodbriar
Wernog, Rider's Chaplain
Jelenn Sphinx
Giant Oyster
Wall of Earth
Swarm Guildmage
Shatterskull Giant
Jeska, Thrice Reborn
Labyrinth Minotaur
Diamond Mare
Call for Unity
Magma Phoenix
Flamekin Gildweaver
Luminesce
Liquify
Jerrard of the Closed Fist
Raven Wings
Strength of the Coalition
Martyr of Sands
Puca's Eye
Rasputin, the Oneiromancer
Zodiac Rooster
Mishra, Lost to Phyrexia
Austere Command
Sarkhan's Catharsis
Dogpile
Corpse Harvester
Truefire Captain
Jhessian Zombies
Abjure
Argivian Archaeologist
Sky Weaver
Sink into Stupor // Soporific Springs
Kethis, the Hidden Hand
Thraxodemon
Invasion of Zendikar // Awakened Skyclave
Leonin Surveyor
Brilliance Unleashed
Grow Extra Arms
Balloon Stand
Greater Gargadon
Sphinx Sovereign
Skeletonize
Matter Reshaper
Ancestor Dragon
Shed Weakness
Soul of Windgrace
Anarchist
Prowcatcher Specialist
Map the Wastes
Soldevi Digger
Ironfist Crusher
Wickersmith's Tools
Silver Shroud Costume
Gempalm Avenger
Spinebiter
Elite Inquisitor
Bow of Nylea
Joven's Tools
Guardian Zendikon
Demon's Horn
Clever Impersonator
Norwood Warrior
Covenant of Minds
Parapet
Mind Bend
Summoner's Bane
Anurid Murkdiver
Katilda, Dawnhart Martyr // Katilda's Rising Dawn
Delay
Miner's Guidewing
Samite Blessing
Blade of Shared Souls
Livewire Lash
Finale of Devastation
Shocking Grasp
Trial of Knowledge
Perilous Shadow
Turn Aside
Infernal Sovereign
Throne of Geth
Deathbloom Ritualist
Dee Kay, Finder of the Lost
Ridge Rannet
Aven Envoy
Borborygmos Enraged
Steer Clear
Aegis of the Legion
Kirtar's Wrath
Healer of the Pride
Contaminated Drink
Naya Charm
Ravenous Bloodseeker
Cartouche of Ambition
Triton Fortune Hunter
Hedonist's Trove
Valley Rotcaller
Spear Spewer
Holy Strength
Altar of Bhaal // Bone Offering
Generous Plunderer
Beast of Burden
On Thin Ice
Bash to Bits
Without Weakness
Teferi, Temporal Pilgrim
Raka Sanctuary
Blood Reckoning
Nantuko Husk
The Eleventh Hour
Spellweaver Volute
Sadistic Skymarcher
Illusionary Informant
War Behemoth
Song of the Worldsoul
Banewhip Punisher
Domestication
Fen Stalker
Golgari Cluestone
Mimeofacture
Rashida Scalebane
Disharmony
Faller's Faithful
Howlpack Piper // Wildsong Howler
Secure the Wastes
Obsidian Charmaw
Bolas's Citadel
Improvised Club
Oloro, Ageless Ascetic
Feebleness
Archfiend of Spite
Smite the Monstrous
Drana, Kalastria Bloodchief
Augmenter Pugilist // Echoing Equation
In Thrall to the Pit
White Scarab
Avatar of the Resolute
Warleader's Call
Kinjalli's Caller
Mighty Servant of Leuk-o
Darksteel Reactor
Belle of the Brawl
Myr Servitor
Spined Sliver
Indomitable Ancients
Eagles of the North
Maga, Traitor to Mortals
Affa Guard Hound
Symbiotic Wurm
Giant Ankheg
Assassin Gauntlet
Temporary Truce
Riptide Gearhulk
Lethal Protection
Burrenton Forge-Tender
Marshal of Zhalfir
Might Makes Right
Boggart Arsonists
Lys Alana Informant
Containment Membrane
Abandoned Sarcophagus
Lotus Vale
Burning Fields
Dread Drone
Moldering Gym // Weight Room
Waterlogged Hulk // Watertight Gondola
Exterminator Magmarch
Adrenaline Jockey
Eusocial Engineering
Gwenom, Remorseless
Koskun Falls
Eater of the Dead
Overwhelming Encounter
Athreos, God of Passage
Mungha Wurm
Curse of Chaos
Case of the Gateway Express
Acid-Spewer Dragon
Cloudsteel Kirin
Feral Hydra
Pollen Remedy
Moonbow Illusionist
Leonardo's Technique
Rabble-Rouser
Pardic Lancer
Sphinx's Insight
Walker of Secret Ways
Chromatic Lantern
Dolmen Gate
Kytheon, Hero of Akros // Gideon, Battle-Forged
Tuktuk Rubblefort
Dwarven Lightsmith
Onulet
Deadeye Tormentor
Volatile Fault
Starlight
Hezrou // Demonic Stench
Phantom Monster
Lightkeeper of Emeria
Kutzil, Malamet Exemplar
Pure Intentions
Mercy Killing
Crypt Creeper
Sun-Blessed Guardian // Furnace-Blessed Conqueror
Swiftblade Vindicator
Animist's Awakening
Ring of Renewal
Uril, the Miststalker
Festering March
Liliana, Death's Majesty
Carnage Wurm
Captain of Umbar
Eager Construct
Skyscribing
Fiery Bombardment
Upriser Renegade
Invoke Justice
Subdue
Ecological Appreciation
Eirdu, Carrier of Dawn // Isilu, Carrier of Twilight
Arm with Aether
Morbid Hunger
Nezumi Informant
Forked Lightning
Game-Trail Changeling
Onakke Ogre
Spell Crumple
Vizzerdrix
Blinding Beam
Struggle for Project Purity
Flaying Tendrils
Bogslither's Embrace
Befriending the Moths // Imperial Moth
Skulking Knight
Vulshok Splitter
Maulfist Squad
Tenuous Truce
Angelic Wall
Blood Price
Child of Gaea
Graham O'Brien
Aetherstream Leopard
Fortress Kin-Guard
Ring of Thune
Niv-Mizzet, Parun
Cryptic Pursuit
Vizier of Deferment
Professor Zei, Anthropologist
Quicksilver Amulet
Reliquary Monk
Infantry Shield
Pact of the Titan
Woodwraith Strangler
Steady Aim
Gutwrencher Oni
Jackdaw
Keldon Vandals
Violent Outburst
Arid Mesa
Mightstone
Wren's Run Packmaster
Song of the Dryads
Phytoburst
Walk the Plank
Crushing Disappointment
Rakshasa Gravecaller
Flawless Forgery
Jinxed Ring
Primordial Wurm
Polluted Dead
Valleymaker
Aminatou's Augury
Hierophant Bio-Titan
Exoskeletal Armor
Chittering Skitterling
Self-Inflicted Wound
Halvar, God of Battle // Sword of the Realms
Containment Construct
Dream Prowler
Tithebearer Giant
Eyes of the Wisent
Gigastorm Titan
Talas Lookout
Exhilarating Elocution
Coral Helm
Woolly Razorback
Tresserhorn Sinks
Rise to the Challenge
Sandskin
Mega Flare
Obelisk of Esper
Ink-Eyes, Servant of Oni
Sultai Ascendancy
Turn Against
Teferi, Master of Time
Sleeper Agent
Wings of the Guard
Storm, Force of Nature
Ego Drain
Riverglide Pathway // Lavaglide Pathway
Tolarian Geyser
Daring Demolition
Tainted Peak
Disciple of Law
Snare Tactician
Bonebreaker Giant
Damia, Sage of Stone
Gaea's Will
Guild Feud
Kiln Walker
Pale Moon
Stone Idol Trap
Nightmare
Greed
Curse of Vitality
Arwen, Weaver of Hope
Aetherborn Marauder
Sorin of House Markov // Sorin, Ravenous Neonate
Iron Will
Fire Drake
The Enigma Jewel // Locus of Enlightenment
Agonizing Memories
Grim Captain's Call
Lakeside Shack
Singe
Haunted Dead
Portent Tracker
Saruli Caretaker
Orzhov Racketeers
Second Harvest
Deadly Precision
Promise of Loyalty
Rakdos Headliner
Gigadrowse
El-Hajjâj
Umara Entangler
Weight of Memory
The Falcon, Airship Restored
Bohn, Beguiling Balladeer
Leonin Squire
Tar Fiend
Shrill Howler // Howling Chorus
Arcum Dagsson
Contraband Livestock
Mercenary Informer
Halberdier
Hall of Gemstone
Magus of the Scroll
Harmonious Emergence
Brine Elemental
Pestilent Souleater
Expansion // Explosion
Seal of Cleansing
Gideon's Reproach
Unearthly Blizzard
Wall of Reverence
Loxodon Warhammer
Yosei, the Morning Star
Machine Over Matter
Hungering Hydra
Cyclone
Titan of Industry
Monument to Perfection
Orazca Raptor
Scarecrone
Energy Refractor
The World Spell
Spindrift Drake
Gurmag Rakshasa
Daring Buccaneer
Foreboding Statue // Forsaken Thresher
Norwood Riders
Coveted Jewel
Redirect Lightning
Second Chance
Fae of Wishes // Granted
Astral Slide
Thieves' Guild Enforcer
Expansion // Explosion
Merieke Ri Berit
Troublesome Spirit
Spirit Mirror
Sanctum Gargoyle
Oculus Whelp
Courier Bat
Pyromancer's Assault
Endless Horizons
Hazard of the Dunes
Spike Tiller
Slumbering Dragon
Polukranos Reborn // Polukranos, Engine of Ruin
Ovalchase Daredevil
Copy Enchantment
Return of the Wildspeaker
Solitary Hunter // One of the Pack
Selfless Spirit
Howling Mine
New Perspectives
Extra Arms
Vapor Snag
Epic Downfall
Spider Spawning
The Second Doctor
Samut, the Tested
Thousand Moons Crackshot
Rakdos Locket
Way of the Thief
Road // Ruin
Leonardo, Worldly Warrior
Securitron Squadron
Vitaspore Thallid
Balthor the Defiled
Flooded Grove
Hollowhenge Overlord
Pestilent Haze
Palladia-Mors, the Ruiner
Unyaro Bees
Everflame Eidolon
Grim Bounty
Necrotic Plague
Stall for Time
Bladed Ambassador
Fire Nation Occupation
Boot Nipper
Woolly Thoctar
Task Mage Assembly
Falcon Abomination
Elvish Lookout
Ballynock Cohort
Rootwater Depths
Boggart Forager
Into Thin Air
Darksteel Gargoyle
The Cave of Two Lovers
Khorvath's Fury
Chasm Drake
Clandestine Chameleon
Thrill of the Hunt
Concentrate
Captivating Crew
Brushland
Zul Ashur, Lich Lord
Mistform Mask
Beacon Bolt
Cloudsculpt Technician
Paralyzing Grasp
Watchful Automaton
Return Triumphant
Dragonlord Kolaghan
Conceited Witch // Price of Beauty
Dwarven Hold
Gwyllion Hedge-Mage
The Swarmweaver
Maddening Wind
Gingerbread Cabin
Hall of Triumph
Skyseer's Chariot
Sinew Sliver
Otherworldly Gaze
Suture Priest
Cavalier of Thorns
Zoyowa's Justice
Jet, Rebel Leader
Coastal Drake
Krovikan Horror
Brighthearth Banneret
Tah-Crop Skirmisher
Neheb, the Worthy
Nightmare Lash
Contentious Plan
Bloodthirsty Adversary
Solitary Sanctuary
Grimoire of the Dead
Pouncing Lynx
Spreading Plague
Proud Mentor
Myojin of Roaring Blades
Hanweir Militia Captain // Westvale Cult Leader
Saruli Gatekeepers
Blood Hound
Renewing Dawn
Fate Transfer
Ghastly Remains
Dragon Tyrant
Spectral Shift
Shore Lurker
Circle of Protection: White
Outland Liberator // Frenzied Trapbreaker
Tempest Drake
Even the Odds
Restless Dreams
Mistrise Village
Tilling Treefolk
Willow Elf
Lithomancer's Focus
Ragged Veins
Wojek Investigator
Lightwheel Enhancements
Scavenger's Talent
Nova Pentacle
Blisterspit Gremlin
Seafloor Stalker
Jacked Rabbit
Rattlechains
Sword of Hours
Makindi Aeronaut
Cave Tiger
Maestros Charm
Invasion of Amonkhet // Lazotep Convert
Notion Rain
Qilin's Blessing
Magma Jet
Sandsteppe Scavenger
Borderland Marauder
Aven Tactician
Aang's Defense
Vraska the Unseen
Invasion of Segovia // Caetus, Sea Tyrant of Segovia
Deep Forest Hermit
Nucklavee
Legion Angel
Crosis, the Purger
Wirewood Channeler
Doubling Cube // Doubling Cube
Terramorphic Expanse
Stromkirk Patrol
Malamet Brawler
Rimefur Reindeer
Shakedown Heavy
Zombie Apocalypse
Ashe, Princess of Dalmasca
Screeching Scorchbeast
Sarkhan's Unsealing
Cavern-Hoard Dragon
Loch Korrigan
Null Group Biological Assets
Oakhame Adversary
Gamble
Essence of Antiquity
Virulent Swipe
Mesa Lynx
Pyroclast Consul
Fatal Grudge
Valki, God of Lies // Tibalt, Cosmic Impostor
Molderhulk
Caduceus, Staff of Hermes
Rupture Spire
Tolsimir, Midnight's Light
Grip of Desolation
Devourer of Memory
Manticore of the Gauntlet
Growing Ranks
Containment Protocol
Elspeth's Devotee
Kavu Recluse
Royal Falcon
Dark Supplicant
Paragon of Eternal Wilds
Mithril Coat
River Herald Scout
Master of Etherium
Sage of Ancient Lore // Werewolf of Ancient Hunger
Tomebound Lich
Markov Blademaster
Kalakscion, Hunger Tyrant
Atzocan Archer
Eunuchs' Intrigues
Zhalfirin Decoy
Poetic Ingenuity
Gem of Becoming
Getaway Glamer
Webspinner Cuff
Prismari Command
Power of Persuasion
Scuttling Death
Intimidation Bolt
Slobad, Iron Goblin
Park Bleater
Muzzio, Visionary Architect
Hostile Takeover
Line Cutter
Giant Trap Door Spider
Tenured Oilcaster
Tireless Tribe
Dinrova Horror
The Wandering Minstrel
Cunning Wish
Asari Captain
Inspired Ultimatum
Obeka, Splitter of Seconds
Defy Gravity
Inferno Jet
Deathbonnet Sprout // Deathbonnet Hulk
Ronom Serpent
Goblin Psychopath
Trail of Crumbs
Captain's Claws
Psychic Overload
Taoist Mystic
Twisted Landscape
Evacuation
Gloom Ripper
Cloud Djinn
Surveilling Sprite
Mystic Familiar
Harper Recruiter
Magma Spray
Taiga
Hidetsugu Consumes All // Vessel of the All-Consuming
Coruscation Mage
Jolrael, Empress of Beasts
Scarwood Bandits
Ice Out
Koma, World-Eater
Drannith Ruins
Leonin Vanguard
Geistwave
Ray of Distortion
Incriminate
Unstable Robot Dragon
Accursed Spirit
Krang & Shredder
Corpse Lunge
Vanguard's Shield
Epic Confrontation
Riku of Many Paths
Flint Golem
Kaito's Pursuit
Sedge Sliver
Bident of Thassa
Dollhouse of Horrors
Water Servant
Donnie & April, Adorkable Duo
Hold for Questioning
Hollow Warrior
Choking Sands
Heap Doll
Helm of the Ghastlord
Lys Alana Scarblade
Brainstone
Impetuous Protege
Giott, King of the Dwarves
Tuktuk Grunts
Spawnwrithe
Malamet Scythe
Chancellor of the Annex
Regal Sliver
Tattermunge Maniac
Moonwing Moth
Rope
Homestead Courage
Rabid Elephant
Intellect Devourer
Hall of Mirrors
Sakashima the Impostor
Tamiyo, the Moon Sage
Khenra Spellspear // Gitaxian Spellstalker
Incubator Drone
Rending Volley
Viashino Cutthroat
Pollenbright Druid
Nakaya Shade
Falkenrath Exterminator
Seed the Land
Ixidor's Will
Torgaar, Famine Incarnate
Hall of Storm Giants
Searing Light
Screamer-Killer
Graceful Adept
Durkwood Baloth
Qarsi Revenant
Jwar Isle Refuge
Fates' Reversal
Toxic Nim
Rodeo Pyromancers
Undying Evil
Sliver Legion
Trickster's Elk
Wirewood Savage
Ultimate Price
Barbary Apes
Killing Glare
Bone Shaman
Succumb to the Cold
Vadmir, New Blood
Capenna Express
Retribution of the Meek
Hooded Hydra
Reaper of Night // Harvest Fear
Muraganda Petroglyphs
Luminous Broodmoth
Meletis Charlatan
Goblin Patrol
Grasp of Darkness
Panicked Bystander // Cackling Culprit
Emmara Tandris
Thrashing Frontliner
Gorilla Warrior
The Legend of Kuruk // Avatar Kuruk
Season of Gathering
Cathodion
Blood Celebrant
Morcant's Eyes
Basri's Aegis
Avenger en-Dal
Argivian Cavalier
Rescuer Sphinx
Nebula Dragon
Surge of Zeal
Protective Parents
Allies at Last
Hanweir Militia Captain // Westvale Cult Leader
Tetzimoc, Primal Death
Skyhunter Cub
Cormela, Glamour Thief
Marina Vendrell's Grimoire
Crowded Crypt
Devouring Sugarmaw // Have for Dinner
Mikey & Leo, Chaos & Order
Multani's Presence
Scathe Zombies
Eccentric Apprentice
Selfcraft Mechan
Vitu-Ghazi, the City-Tree
Great Arashin City
Grim Contest
Essence Depleter
Sell-Sword Brute
Monstrous War-Leech
Hypothesizzle
Tropical Storm
Fateful Handoff
Synchronized Spellcraft
Breeding Pool
Grim Backwoods
Tusk and Whiskers
Wishing Well
Keening Apparition
Shire Terrace
Awakened Awareness
Psychic Purge
Kangee's Lieutenant
Big Winner
Flailing Soldier
Wailing Ghoul
Arahbo, the First Fang
Magmatic Hellkite // Magmatic Hellkite
Nimbus of the Isles
Jeskai Charm
Myth Unbound
Geothermal Bog
Oakgnarl Warrior
Torpor Orb
Spellbook
Rain of Thorns
Firmament Sage
Grozoth
Consuming Vortex
Pick the Brain
Giltspire Avenger
Ardent Plea
Nikya of the Old Ways
Cry of Contrition
Urza's Rage
Immortal Phoenix
Knightly Valor
Goblin Settler
Draconic Muralists
Breya's Apprentice
Weathered Bodyguards
Angel of Destiny
Complicate
Failure // Comply
Gleeful Arsonist
Neriv, Heart of the Storm
Phyrexian Broodlings
Goblin Chirurgeon
Piper Wright, Publick Reporter
Razia's Purification
Repel the Abominable
Incisor Glider
Kraul Stinger
Cunning Breezedancer
Hoarding Ogre
Dragon Wings
Oswald Fiddlebender
Wild Guess
Branchsnap Lorian
Topplegeist
Purging Scythe
Pollen Lullaby
Whirlwind
South Wind Avatar
Gods Willing
Cyclops of Eternal Fury
Blizzard
Conviction
Strength of Unity
The Seventh Doctor
Parker Luck
Anointed Procession // Anointed Procession
Angelic Quartermaster
Closing Statement
Rain of Revelation
Azra Smokeshaper
Braided Net // Braided Quipu
Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time
Vicious Rumors
Crabapple Cohort
Spellbinding Soprano
Dutiful Attendant
Temur Sabertooth
Spawn-Gang Commander
Forge of Heroes
Infernal Pet
Pyroclastic Elemental
Feather, the Redeemed
Demanding Dragon
Cankerous Thirst
Infiltrator's Magemark
Voracious Hatchling
Bumi, Eclectic Earthbender
Realm-Cloaked Giant // Cast Off
Skyclave Relic
Jeskai Elder
Fanatic of the Harrowing
Mycologist
Timeless Lotus
Mythos of Vadrok
Wedding Announcement // Wedding Festivity
Horses of the Bruinen
Veiling Oddity
Overwhelming Remorse
Goblin Matron
Blood for the Blood God!
Scorch the Fields
Risky Shortcut
Blinking Spirit
Growth Cycle
Oblivious Bookworm
Standard Bearer
Scourglass
Ruric Thar, the Unbowed
Plaza of Harmony
Safehold Duo
Candelabra of Tawnos
Crumbling Sanctuary
Power Taint
Colossal Skyturtle
Null Rod
Avenging Druid
Sage of Days
Enduring Innocence
Chlorophant
Shantotto, Tactician Magician
Tlincalli Hunter // Retrieve Prey
Black Panther, Wakandan King
Reckless Handling
Zerapa Minotaur
Voidwing Hybrid
Desecration Demon
Gishath, Sun's Avatar
Join the Maestros
Aisha of Sparks and Smoke
Starving Revenant
Voidmage Prodigy
Pyre Spawn
Smelted Chargebug
Will Kenrith
Disciple of Freyalise // Garden of Freyalise
Ral, Monsoon Mage // Ral, Leyline Prodigy
Bloodchief's Thirst
Seraph Sanctuary
Precursor Golem
Break Asunder
Kami of Old Stone
Tajuru Paragon
Nogi, Draco-Zealot
Splashy Spellcaster
Tezzeret, Master of the Bridge
Heraldic Banner
Damage Control Crew
Radiant Essence
Mer-Ek Nightblade
Archangel Elspeth
Show of Valor
Polyraptor
The Master, Mesmerist
Gird for Battle
Caustic Hound
Duty Beyond Death
Ambush Gigapede
God-Eternal Rhonas
Alabaster Host Sanctifier
Argothian Swine
Cloudfin Raptor
Infuse with Vitality
Hellish Rebuke
Tobias, Doomed Conqueror
Veilborn Ghoul
Hickory Woodlot
Sphinx of Magosi
Descendant of Soramaro
G'raha Tia, Scion Reborn
Nantuko Calmer
Eladamri, Lord of Leaves
Master of Dark Rites
Tomb Hex
Balm of Restoration
Ghosts of the Innocent
Necrotic Sliver
Dwell on the Past
Glasswing Grace // Age-Graced Chapel
Warden of the Wall
Hissing Quagmire
Alesha's Legacy
Galedrifter // Waildrifter
Winds of Rath
City of Brass
Angelic Sell-Sword
Lashknife Barrier
Frostpyre Arcanist
Reiterate
Chimeric Coils
Magma Pummeler
Faerie Duelist
Munitions Expert
Wavebreak Hippocamp
Loran of the Third Path
Mortality Spear
Homarid
Pestilent Cauldron // Restorative Burst
Quarum Trench Gnomes
Dreamtide Whale
Jump
Esper Sojourners
Chimeric Sphere
Frostweb Spider
Walking Corpse
Collector's Cage
Onakke Oathkeeper
High Priest of Penance
Dawnstrike Paladin
Evendo Brushrazer
Strength in Numbers
Caravan Escort
Detective's Satchel
Gnottvold Slumbermound
Rakdos Trumpeter
Cogwork Librarian
Satya, Aetherflux Genius
Reckless Pangolin
Shade's Form
Scavenged Blade
Squelch
Rust Tick
Lightless Evangel
Mutavault
Hail Storm
Ollenbock Escort
Dream Thief
Magebane Lizard
Matsu-Tribe Sniper
Fevered Strength
Dispersal Shield
Raise the Palisade
Breath of Life
Voldaren Bloodcaster // Bloodbat Summoner
Repository Skaab
Reality Hemorrhage
Spooky Clown Mox
Basri's Solidarity
Ice Flan
Blightwing Bandit
Immaculate Magistrate
Indigo Faerie
Derevi, Empyrial Tactician
Unyaro Griffin
Master of Diversion
Cataclysmic Prospecting
Blasting Station
Izzet Staticaster
Hotfoot Gnome
Alpha Status
Twilight Diviner
Captain of the Mists
Beacon of Unrest
Ardent Militia
Skymark Roc
Scragnoth
Axebane Ferox
Harsh Justice
Chandra, Pyrogenius
Crown of the Ages
Thousand-Faced Shadow
Fog
Nightfire Giant
Firemind's Foresight
Ellie, Vengeful Hunter
Battlefield Percher
Akroan Jailer
Sharp-Eyed Rookie
Veteran Ice Climber
Vampire Charmseeker
Metathran Zombie
Isperia's Skywatch
Mark of the Vampire
Pride of Lions
Ulvenwald Captive // Ulvenwald Abomination
Night Scythe
Hunger of the Howlpack
Hideous End
Molimo, Maro-Sorcerer
Fiery Confluence
Deserted Temple
Gaze of Granite
Shriekmaw
Plague Beetle
Swarm Culler
Guardian of Vitu-Ghazi
Sanctum of Ugin
Synchronized Strike
Reckless Waif // Merciless Predator
Courage in Crisis
Genemorph Imago
Go-Shintai of Shared Purpose
Purphoros, Bronze-Blooded
Kytheon's Tactics
Kavu Lair
Cybermen Squadron
Basilisk Gate
Butcher's Cleaver
Captain Sisay
Thrashing Wumpus
Mocking Sprite
Spinerock Tyrant
Aether Spike
Aerial Boost
Fires of Victory
Glaring Spotlight
Rulik Mons, Warren Chief
Mosstodon
Timber Gorge
Rocket-Powered Goblin Glider
Palace Guard
Skyline Despot
Tarmogoyf Nest
Wheel of Torture
Toralf, God of Fury // Toralf's Hammer
Torment of Venom
Wastewood Verge
Sphinx's Herald
Crimson Caravaneer
Ursine Fylgja
Crude Rampart
Steel Exemplar
Domri's Nodorog
Grappling Kraken
Sidequest: Catch a Fish // Cooking Campsite
Mantle of Leadership
Garruk, Caller of Beasts
Slaughter-Priest of Mogis
Homicidal Seclusion
Accumulate Wisdom
Sauron, Lord of the Rings
Twinstrike
Fiendslayer Paladin
Ornery Tumblewagg
Keeper of the Beasts
Baird, Steward of Argive
Leafkin Avenger
Anointed Procession
Rebuff the Wicked
Feed the Clan
Culvert Ambusher
Dorothea, Vengeful Victim // Dorothea's Retribution
Applied Biomancy
Wanderlust
Vulshok Morningstar
Druid of the Anima
Elemental Teachings
Crackling Cyclops
Foe-Razer Regent
White Glove Gourmand
Leyline Invocation
Thallid Shell-Dweller
Timid Drake
Blind Obedience
Vantress Paladin
